county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
37195,31.576,83.457,50559,39.173,38.149,30.586,82.124,52533,40.6,29.902,28.248,77.07,54864,37.606,16.159,29.206,74.087,58723,37.805,15.664,32.19,75.472,60834,46.352,25.043
37197,30.636,78.03,57188,12.951,27.273,29.16,80.293,59979,13.34,27.778,28.225,75.512,62324,13.712,17.363,28.643,72.86,64562,13.383,13.501,30.714,74.254,66563,18.083,23.265
37199,29.965,72.555,49289,6.533,16.312,31.541,74.529,51309,6.086,14.013,30.283,72.456,53799,6.394,10.922,30.984,69.715,56590,6.494,8.847,32.072,69.761,59923,10.363,12.222
38001,36.5,80.376,75854,3.29,16.667,35.083,75.441,78614,3.29,16.667,28.55,81.282,81543,3.29,35.0,29.636,71.899,86528,3.29,9.091,30.4,82.8,82366,7.82,30.0
38003,30.909,77.362,75854,3.679,22.727,32.632,79.321,78614,4.419,19.298,27.54,73.539,81543,3.754,9.353,29.231,74.286,85966,3.728,13.295,34.095,76.743,82366,7.97,22.222
38005,29.5,77.764,75854,29.653,25.0,20.923,67.335,78614,46.388,15.385,23.741,70.969,81543,38.665,14.815,27.897,76.525,82815,29.822,25.641,33.0,78.173,82366,22.463,22.222
38007,28.4,76.046,83125,1.53,0.0,10.0,55.98,107589,1.53,33.333,22.25,69.5,106964,1.53,0.0,29.0,68.771,92344,1.53,21.429,39.4,89.0,94167,4.55,40.0
38009,29.97,70.711,75854,4.776,12.121,31.491,78.224,78614,5.131,23.636,30.957,78.027,81543,5.109,13.83,30.01,72.817,82815,5.319,7.921,28.727,74.628,86121,9.645,18.182
38011,27.571,82.34,87574,4.138,14.286,26.688,71.868,93636,4.046,12.5,27.306,76.075,90074,3.832,16.667,25.081,77.37,88462,3.659,13.514,30.227,76.156,90000,8.625,22.727
38013,33.0,77.49,81635,3.91,25.0,28.909,72.941,84583,3.91,18.182,24.733,81.273,90714,3.91,13.333,25.364,76.85,94028,3.91,27.273,31.6,74.572,97042,6.91,60.0
38015,32.326,72.825,84553,6.704,13.252,30.157,73.692,87140,6.49,14.923,28.145,72.981,90369,6.451,9.994,28.919,72.402,94299,6.664,11.288,32.229,74.084,93359,13.118,22.304
